source_file,series_id,event_number,start_index_0based,end_index_0based,start_position_1based,end_position_1based,n_points,normal_gap_points_before
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,1,65001,66059,65002,66060,1059,65001
032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,2,66210,67000,66211,67001,791,150
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,1,51001,52519,51002,52520,1519,51001
033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,2,2,52673,53000,52674,53001,328,153
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,1,122001,122933,122002,122934,933,122001
034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,3,2,123071,124056,123072,124057,986,137
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,1,90001,91003,90002,91004,1003,90001
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,2,91144,92371,91145,92372,1228,140
035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,4,3,92519,93000,92520,93001,482,147
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,1,67147,68208,67148,68209,1062,67147
036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,5,2,69780,71000,69781,71001,1221,1571
037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,6,1,80001,81284,80002,81285,1284,80001
037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,6,2,81419,82000,81420,82001,582,134
038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,7,1,100001,100969,100002,100970,969,100001
038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,7,2,102275,103000,102276,103001,726,1305
039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,8,1,63030,64197,63031,64198,1168,63030
040_GHL_id_9_Sensor_tr_50000_1st_92001.csv,9,1,92001,93129,92002,93130,1129,92001
040_GHL_id_9_Sensor_tr_50000_1st_92001.csv,9,2,94743,96000,94744,96001,1258,1613
041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,10,1,57001,58596,57002,58597,1596,57001
041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,10,2,58742,59000,58743,59001,259,145
042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,11,1,150001,150921,150002,150922,921,150001
042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,11,2,152376,153000,152377,153001,625,1454
043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,12,1,40038,41088,40039,41089,1051,40038
044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,13,1,145001,146207,145002,146208,1207,145001
044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,13,2,146359,147000,146360,147001,642,151
045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,14,1,85076,86538,85077,86539,1463,85076
045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,14,2,86693,87000,86694,87001,308,154
046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,15,1,156462,157700,156463,157701,1239,156462
047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,16,1,77001,78036,77002,78037,1036,77001
047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,16,2,78176,79705,78177,79706,1530,139
047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,16,3,79839,80000,79840,80001,162,133
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,17,1,154001,155035,154002,155036,1035,154001
048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,17,2,155198,156558,155199,156559,1361,162
