feature,feature_family,global_cardinality_category,global_n_unique_or_lower_bound,global_n_unique_exact,train_cardinality_category,train_n_unique_or_lower_bound,train_n_unique_exact
RT_level_ini,level,high_cardinality,201,False,medium_cardinality,114,True
RT_temperature.T,temperature,high_cardinality,201,False,high_cardinality,201,False
C_temperature.T,temperature,high_cardinality,201,False,high_cardinality,201,False
RT_level,level,high_cardinality,201,False,high_cardinality,201,False
out_valve_act,actuator_or_state,binary,2,True,binary,2,True
dT_rand,random_input,high_cardinality,201,False,medium_cardinality,155,True
inv_valve_act,actuator_or_state,binary,2,True,binary,2,True
limiter.y,limiter,high_cardinality,201,False,medium_cardinality,125,True
inj_valve_act,actuator_or_state,binary,2,True,binary,2,True
Relaxing.active,actuator_or_state,binary,2,True,binary,2,True
boundary.m_flow_in,flow,binary,2,True,binary,2,True
dir_valve_act,actuator_or_state,binary,2,True,binary,2,True
dt_rand,random_input,high_cardinality,201,False,high_cardinality,201,False
C_level,level,high_cardinality,201,False,high_cardinality,201,False
HT_temperature.T,temperature,high_cardinality,201,False,high_cardinality,201,False
heater_act,actuator_or_state,binary,2,True,binary,2,True
HT_level,level,high_cardinality,201,False,high_cardinality,201,False
limiter1.y,limiter,high_cardinality,201,False,high_cardinality,201,False
dL_rand,random_input,high_cardinality,201,False,medium_cardinality,155,True
