group,source_file,series_id,sample_index_0based,PC1,PC2
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,24,-5.53551243713719,-3.9045044804975526
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,50,-5.5346201361649925,-3.9005591107671753
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,59,-5.534318361213832,-3.8992247921963163
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,74,-5.533823453589,-3.8970365243095335
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,79,-5.533660737455685,-3.8963170638055975
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,80,-5.533628260175274,-3.8961734632906695
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,110,-5.5380113666519835,-4.4792515832806865
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,148,-5.538112423633694,-4.414351908448126
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,156,-5.538140837575221,-4.4007161750551775
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,193,-5.538303729960735,-4.337774749350382
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,215,-5.53842460256037,-4.300445832618939
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,218,-5.538442392776576,-4.295361139233233
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,219,-5.538448400949536,-4.293666378930534
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,223,-5.53847268498165,-4.286888888611553
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,229,-5.538510139376986,-4.2767269802458445
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,240,-5.538582057081389,-4.258110374949074
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,259,-5.538716174300631,-4.225995014174122
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,263,-5.538746008822762,-4.219240369138191
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,266,-5.5387686900910245,-4.214175605293229
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,269,-5.538791782531951,-4.209112710611236
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,307,-5.539108411431406,-4.145083877896787
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,322,-5.539246212744029,-4.119863088603837
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,349,-5.539512631539003,-4.074542897853379
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,357,-5.539595386590624,-4.061130982849218
train_prefix,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,1,358,-5.539605896561258,-4.059455187285196
