source_file,event_number,start_time,end_time,n_points,span_seconds,normal_gap_points_before,normal_gap_points_after
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,237.0,,3959.0
hai-test1.csv,2,2022-08-12 17:35:01,2022-08-12 17:38:19,199,198.0,3959.0,3237.0
hai-test1.csv,3,2022-08-12 18:32:17,2022-08-12 18:34:53,157,156.0,3237.0,2770.0
hai-test1.csv,4,2022-08-12 19:21:04,2022-08-12 19:23:48,165,164.0,2770.0,4752.0
hai-test1.csv,5,2022-08-12 20:43:01,2022-08-12 20:45:42,162,161.0,4752.0,3018.0
hai-test1.csv,6,2022-08-12 21:36:01,2022-08-12 21:39:18,198,197.0,3018.0,4062.0
hai-test1.csv,7,2022-08-12 22:47:01,2022-08-12 22:57:05,605,604.0,4062.0,2289.0
hai-test1.csv,8,2022-08-12 23:35:15,2022-08-12 23:36:51,97,96.0,2289.0,2892.0
hai-test1.csv,9,2022-08-13 00:25:04,2022-08-13 00:27:14,131,130.0,2892.0,4014.0
hai-test1.csv,10,2022-08-13 01:34:09,2022-08-13 01:35:04,56,55.0,4014.0,2759.0
hai-test1.csv,11,2022-08-13 02:21:04,2022-08-13 02:23:15,132,131.0,2759.0,3767.0
hai-test1.csv,12,2022-08-13 03:26:03,2022-08-13 03:27:21,79,78.0,3767.0,4540.0
hai-test1.csv,13,2022-08-13 04:43:02,2022-08-13 04:45:15,134,133.0,4540.0,3292.0
hai-test1.csv,14,2022-08-13 05:40:08,2022-08-13 05:50:35,628,627.0,3292.0,
hai-test2.csv,1,2022-08-17 01:27:06,2022-08-17 01:29:18,133,132.0,,7663.0
hai-test2.csv,2,2022-08-17 03:37:02,2022-08-17 03:39:13,132,131.0,7663.0,2509.0
hai-test2.csv,3,2022-08-17 04:21:03,2022-08-17 04:22:11,69,68.0,2509.0,5030.0
hai-test2.csv,4,2022-08-17 05:46:02,2022-08-17 05:48:04,123,122.0,5030.0,1980.0
hai-test2.csv,5,2022-08-17 06:21:05,2022-08-17 06:22:30,86,85.0,1980.0,8010.0
hai-test2.csv,6,2022-08-17 08:36:01,2022-08-17 08:39:17,197,196.0,8010.0,3766.0
hai-test2.csv,7,2022-08-17 09:42:04,2022-08-17 09:52:18,615,614.0,3766.0,2623.0
hai-test2.csv,8,2022-08-17 10:36:02,2022-08-17 10:38:15,134,133.0,2623.0,3409.0
hai-test2.csv,9,2022-08-17 11:35:05,2022-08-17 11:36:30,86,85.0,3409.0,2914.0
hai-test2.csv,10,2022-08-17 12:25:05,2022-08-17 12:26:33,89,88.0,2914.0,4831.0
hai-test2.csv,11,2022-08-17 13:47:05,2022-08-17 13:50:29,205,204.0,4831.0,2074.0
hai-test2.csv,12,2022-08-17 14:25:04,2022-08-17 14:27:11,128,127.0,2074.0,2749.0
hai-test2.csv,13,2022-08-17 15:13:01,2022-08-17 15:22:00,540,539.0,2749.0,7923.0
hai-test2.csv,14,2022-08-17 17:34:04,2022-08-17 17:35:05,62,61.0,7923.0,2458.0
hai-test2.csv,15,2022-08-17 18:16:04,2022-08-17 18:18:31,148,147.0,2458.0,4891.0
hai-test2.csv,16,2022-08-17 19:40:03,2022-08-17 19:41:38,96,95.0,4891.0,1824.0
hai-test2.csv,17,2022-08-17 20:12:03,2022-08-17 20:20:28,506,505.0,1824.0,8432.0
hai-test2.csv,18,2022-08-17 22:41:01,2022-08-17 22:44:35,215,214.0,8432.0,3208.0
hai-test2.csv,19,2022-08-17 23:38:04,2022-08-17 23:40:15,132,131.0,3208.0,50867.0
hai-test2.csv,20,2022-08-18 13:48:03,2022-08-18 13:50:14,132,131.0,50867.0,4117.0
hai-test2.csv,21,2022-08-18 14:58:52,2022-08-18 15:00:14,83,82.0,4117.0,4805.0
hai-test2.csv,22,2022-08-18 16:20:20,2022-08-18 16:23:51,212,211.0,4805.0,4458.0
hai-test2.csv,23,2022-08-18 17:38:10,2022-08-18 17:39:29,80,79.0,4458.0,3936.0
hai-test2.csv,24,2022-08-18 18:45:06,2022-08-18 18:46:53,108,107.0,3936.0,2047.0
hai-test2.csv,25,2022-08-18 19:21:01,2022-08-18 19:22:01,61,60.0,2047.0,4207.0
hai-test2.csv,26,2022-08-18 20:32:09,2022-08-18 20:34:07,119,118.0,4207.0,4014.0
hai-test2.csv,27,2022-08-18 21:41:02,2022-08-18 21:43:14,133,132.0,4014.0,5506.0
hai-test2.csv,28,2022-08-18 23:15:01,2022-08-18 23:17:36,156,155.0,5506.0,7527.0
hai-test2.csv,29,2022-08-19 01:23:04,2022-08-19 01:24:59,116,115.0,7527.0,4681.0
hai-test2.csv,30,2022-08-19 02:43:01,2022-08-19 02:45:35,155,154.0,4681.0,6505.0
hai-test2.csv,31,2022-08-19 04:34:01,2022-08-19 04:35:36,96,95.0,6505.0,2305.0
hai-test2.csv,32,2022-08-19 05:14:02,2022-08-19 05:16:35,154,153.0,2305.0,5365.0
hai-test2.csv,33,2022-08-19 06:46:01,2022-08-19 07:20:12,2052,2051.0,5365.0,3828.0
hai-test2.csv,34,2022-08-19 08:24:01,2022-08-19 08:32:50,530,529.0,3828.0,3282.0
hai-test2.csv,35,2022-08-19 09:27:33,2022-08-19 09:28:59,87,86.0,3282.0,3900.0
hai-test2.csv,36,2022-08-19 10:34:00,2022-08-19 10:35:59,120,119.0,3900.0,13320.0
hai-test2.csv,37,2022-08-19 14:18:00,2022-08-19 14:21:09,190,189.0,13320.0,1790.0
hai-test2.csv,38,2022-08-19 14:51:00,2022-08-19 14:53:02,123,122.0,1790.0,
