feature,mean_within_test_ks,min_within_test_ks,max_within_test_ks,mean_within_test_abs_mean_shift_sd,test_files_with_zero_normal_variance_change,absolute_mean_difference_in_test_normal_sd,test_normal_zero_variance_but_mean_changed,pooled_sample_ks_statistic,within_test_ks_rank
P1_FCV01Z,0.29391681964795324,0.17451523016470805,0.4133184091311984,0.5206721417141955,0,0.13892027039888882,False,0.11877897228967738,1.0
P1_PCV01Z,0.293326688699372,0.16742366603475867,0.41922971136398535,1.6180308833783572,0,1.2786551498312235,False,0.2205795860585822,2.0
P1_FT02,0.29238830799576077,0.17443923150493612,0.4103373844865854,0.4384421615135549,0,0.07432839683341785,False,0.1129049075132258,3.0
P1_FT02Z,0.2904051978265082,0.1693686347614557,0.41144176089156065,0.4768007010985199,0,0.010679732169702843,False,0.10925877264492112,4.0
x1003_10_SETPOINT_OUT,0.2900274954221029,0.1693821484575868,0.41067284238661894,0.4769196191047202,0,0.010397021338039884,False,0.10913777796765745,5.0
P1_FCV01D,0.28988394103112514,0.17140099302138612,0.4083668890408641,0.5210131469191124,0,0.13792149284331393,False,0.1141553091666545,6.0
P1_FCV02Z,0.28977191754038367,0.14918648039791899,0.4303573546828484,0.4737974947470358,0,0.16482522051749554,False,0.1996870449026979,7.0
P1_PCV01D,0.28651224737073283,0.17016831653489883,0.40285617820656683,1.6336180900239445,0,1.2836788058131923,False,0.22496370481390882,8.0
P1_TIT02,0.28438191371856036,0.1547871202308238,0.413976707206297,0.4872041454298305,0,0.27101509625962367,False,0.1894973853439511,9.0
P1_TIT01,0.2669906539328017,0.20966871202078266,0.32431259584482075,0.600294121889815,0,0.5621206232549049,False,0.23350679442537856,10.0
P1_PIT02,0.26580989188027127,0.1722260200109455,0.35939376374959703,0.38799999451430445,0,0.3137940936593689,False,0.21623429755464002,11.0
P1_TIT03,0.2655598164173718,0.11083061118716579,0.42028902164757787,0.40684932781042127,0,0.20894127445901342,False,0.13397512843580167,12.0
P4_ST_TT01,0.2650808639733652,0.20806785284883375,0.3220938750978967,0.6000652680841574,0,0.561084061122251,False,0.23268368639157644,13.0
P1_FCV02D,0.21101779914665597,0.03953803055869809,0.38249756773461385,0.42905418965317843,0,0.13710214181609504,False,0.08163582616040688,14.0
P1_FT01,0.20531244419903252,0.14652104495553514,0.2641038434425299,0.9963858859085959,0,1.1360774450093136,False,0.13846331998584996,15.0
P1_FT01Z,0.20452135751082717,0.14555098575626677,0.26349172926538755,0.631666214410867,0,0.5794058002334261,False,0.13727944771093256,16.0
P1_LCV01D,0.20143470464691224,0.16232431147690068,0.2405450978169238,0.43553813152772425,0,0.4300983022619546,False,0.1797078189263342,17.0
P1_LCV01Z,0.19953923945915925,0.15479931037918426,0.2442791685391342,0.44634937276861075,0,0.44533542200909587,False,0.1735331172822865,18.0
P1_FCV03Z,0.19484877434620712,0.13158086506107713,0.2581166836313371,0.584588707376728,0,0.007646357074763227,False,0.11454557410414073,19.0
P1_PIT01,0.19142568028286927,0.14515471909180522,0.23769664147393332,0.4528776018971433,0,0.34091853401060007,False,0.1692377740685469,20.0
P1_FCV03D,0.18883835672614896,0.11197881541339148,0.2656978980389064,0.5712975589263476,0,0.026497631345661986,False,0.0986731217321625,21.0
