feature,test_normal_mean,test_normal_std,test_anomaly_mean,test_anomaly_std,absolute_mean_difference,absolute_mean_difference_in_test_normal_sd,test_normal_zero_variance_but_mean_changed,ks_statistic,ks_pvalue,ks_basis,ks_rank,standardized_mean_shift_rank
P1_TIT01,30.118774756973956,1.2833194000694492,30.840155057976105,1.2653122999942474,0.7213803010021493,0.5621206232549049,False,0.23350679442537856,1.7970340480237038e-177,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,1.0,10.0
P4_ST_TT01,27081.284466844434,124.06910366253727,27150.897663387208,122.37688604567654,69.61319654277395,0.561084061122251,False,0.23268368639157644,3.280983893419694e-176,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,2.0,11.0
P1_PCV01D,27.47851948614733,2.4340642564331865,30.60307618411806,11.733488549698562,3.1245566979707284,1.2836788058131923,False,0.22496370481390882,1.317250594205542e-164,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,3.0,6.0
P1_PCV01Z,27.924545645749703,2.463870617608732,31.074986499472946,11.958143884523317,3.150440853723243,1.2786551498312235,False,0.2205795860585822,3.3631058095502566e-158,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,4.0,7.0
P1_PIT02,0.6401794457833971,0.3653209322912554,0.525543894940267,0.29549597116639115,0.11463555084313015,0.3137940936593689,False,0.21623429755464002,5.585035942384602e-152,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,5.0,22.0
P4_ST_PS,13.583244779243705,9.902842220572968,16.845972191672523,9.830391439066286,3.262727412428818,0.32947383587012663,False,0.20824502963131014,7.030771673518834e-141,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,6.0,19.0
x1001_05_SETPOINT_OUT,0.11382417451724441,0.04068002812526882,0.12178469342937456,0.031628899258807956,0.007960518912130149,0.19568617031474936,False,0.20090389232895678,4.607947510897753e-131,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,7.0,28.0
P1_FCV02Z,46.911976268057536,38.839694026077886,53.31373740073788,40.3019011578158,6.401761132680342,0.16482522051749554,False,0.1996870449026979,1.8002830914398966e-129,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,8.0,34.0
x1003_24_SUM_OUT,29.85408686348053,0.7931504490108893,30.223074173401262,1.0044077056425387,0.36898730992073325,0.46521729941763845,False,0.18967020730785966,9.519458914784326e-117,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,9.0,14.0
P1_TIT02,36.16180090141236,2.16772213563722,36.7492863246662,1.7666350425474522,0.5874854232538382,0.27101509625962367,False,0.1894973853439511,1.5566407515630184e-116,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,10.0,24.0
x1003_18_SETPOINT_OUT,26.08349527511208,0.7371711196005932,26.46216434293746,0.9575322819589104,0.3786690678253777,0.5136786531064109,False,0.1884712951468427,2.8582850886581364e-115,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,11.0,12.0
P1_LCV01D,15.303729558670554,3.2336142656030455,16.69450156447646,14.80598967221022,1.390772005805907,0.4300983022619546,False,0.1797078189263342,9.172016574779806e-105,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,12.0,17.0
P1_LCV01Z,15.178974385457261,3.1724949921841405,16.59179878162333,14.53450637215162,1.4128243961660676,0.44533542200909587,False,0.1735331172822865,1.1377581060478033e-97,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,13.0,16.0
P1_PIT01,1.094585632636915,0.10750039023534963,1.1312345080815178,0.34396881363230597,0.036648875444602824,0.34091853401060007,False,0.1692377740685469,6.923908254043183e-93,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,14.0,18.0
P1_PP04D,0.5785631611334133,0.4937901607017779,0.41944834855938157,0.49349044975890505,0.15911481257403176,0.3222316385322395,False,0.16652491641040412,6.289850904942001e-90,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,15.0,21.0
x1002_07_SETPOINT_OUT,358.9217928888782,24.473369079800012,355.43502570888967,21.557830913809912,3.486767179988533,0.14247189132886748,False,0.16644508437327843,7.672772210943832e-90,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,16.0,37.0
P4_ST_PT01,9967.87478389545,30.572166918866134,9977.826774420239,94.94685206728654,9.951990524788926,0.325524538420845,False,0.1660430448939474,2.0843959785547073e-89,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,17.0,20.0
P2_ManualSD,11.237488722638966,4.062144298615606,9.273557259311316,5.686573447106268,1.9639314633276506,0.483471614732388,False,0.1634157296040164,1.3454236325911309e-86,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,18.0,13.0
x1002_08_SETPOINT_OUT,987.5263694134776,24.4369149682459,983.7706372461349,22.899254999250896,3.7557321673426713,0.1536909291628255,False,0.15436351974127405,2.877153471491763e-77,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,19.0,36.0
P1_PP04,22.91884510625751,17.093697227014204,17.91257584504568,17.12114228430011,5.0062692612118305,0.29287223207043356,False,0.15050267642413728,1.8755820297618176e-73,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,20.0,23.0
P3_LIT01,15428.83028467196,3082.4573678432216,16206.133169360506,2979.4860608909416,777.3028846885463,0.2521698735552735,False,0.1491954931686425,3.4848061583475736e-72,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,21.0,26.0
P4_HT_PS,4.3635999230814315,2.3793907612956007,4.483033410049192,2.430436842994351,0.11943348696776024,0.050194986426999315,False,0.14504953543319954,3.1081370072493827e-68,proportional_normal_sample_and_all_anomaly_rows_pooled_across_test_files,22.0,48.0
