source_file,feature,lag_samples,autocorrelation
hai-train1.csv,P1_FCV01D,1,0.9997859407902085
hai-train1.csv,P1_FCV01D,10,0.999281472296428
hai-train1.csv,P1_FCV01D,60,0.9923752532305756
hai-train1.csv,P1_FCV01D,300,0.8603095700138784
hai-train1.csv,P1_FCV01Z,1,0.9997700190681751
hai-train1.csv,P1_FCV01Z,10,0.9992150708277753
hai-train1.csv,P1_FCV01Z,60,0.9921160780928515
hai-train1.csv,P1_FCV01Z,300,0.8594514748031167
hai-train1.csv,P1_FCV02D,1,0.9589334499327717
hai-train1.csv,P1_FCV02D,10,0.9369174695250502
hai-train1.csv,P1_FCV02D,60,0.8117997619535956
hai-train1.csv,P1_FCV02D,300,0.619000388898319
hai-train1.csv,P1_FCV02Z,1,0.9998573276541604
hai-train1.csv,P1_FCV02Z,10,0.9979688603864669
hai-train1.csv,P1_FCV02Z,60,0.9661436526237545
hai-train1.csv,P1_FCV02Z,300,0.7025855975507127
hai-train1.csv,P1_FCV03D,1,0.9998131271966125
hai-train1.csv,P1_FCV03D,10,0.9971912269309362
hai-train1.csv,P1_FCV03D,60,0.9678702682432248
hai-train1.csv,P1_FCV03D,300,0.9243468796262339
hai-train1.csv,P1_FCV03Z,1,0.9993408679339155
hai-train1.csv,P1_FCV03Z,10,0.991356312904986
hai-train1.csv,P1_FCV03Z,60,0.9644306014369046
hai-train1.csv,P1_FCV03Z,300,0.921844973543944
hai-train1.csv,P1_FT01,1,0.9937998634318564
hai-train1.csv,P1_FT01,10,0.9478167008460054
hai-train1.csv,P1_FT01,60,0.3219984835393776
hai-train1.csv,P1_FT01,300,0.45179212765281934
hai-train1.csv,P1_FT01Z,1,0.993775317234977
hai-train1.csv,P1_FT01Z,10,0.9480622961630711
hai-train1.csv,P1_FT01Z,60,0.3257991367379493
hai-train1.csv,P1_FT01Z,300,0.4569623234087893
hai-train1.csv,P1_FT02,1,0.9996823629726262
hai-train1.csv,P1_FT02,10,0.9989785629885467
hai-train1.csv,P1_FT02,60,0.9909039002486943
hai-train1.csv,P1_FT02,300,0.8319253043991597
hai-train1.csv,P1_FT02Z,1,0.999654257813686
hai-train1.csv,P1_FT02Z,10,0.9989386636786378
hai-train1.csv,P1_FT02Z,60,0.990666784365576
hai-train1.csv,P1_FT02Z,300,0.8405100240490316
hai-train1.csv,P1_FT03,1,0.9989558230304476
hai-train1.csv,P1_FT03,10,0.9918325465622783
hai-train1.csv,P1_FT03,60,0.9746043953183107
hai-train1.csv,P1_FT03,300,0.9456463633198976
hai-train1.csv,P1_FT03Z,1,0.9987578380622749
hai-train1.csv,P1_FT03Z,10,0.9900365690171835
hai-train1.csv,P1_FT03Z,60,0.972064196248004
hai-train1.csv,P1_FT03Z,300,0.9429391109800657
hai-train1.csv,P1_LCV01D,1,0.9995624160610552
hai-train1.csv,P1_LCV01D,10,0.9809474940061759
hai-train1.csv,P1_LCV01D,60,0.5322976865264419
hai-train1.csv,P1_LCV01D,300,0.40240810801842
hai-train1.csv,P1_LCV01Z,1,0.9982892879581728
hai-train1.csv,P1_LCV01Z,10,0.9708872161653512
hai-train1.csv,P1_LCV01Z,60,0.5300902207361633
hai-train1.csv,P1_LCV01Z,300,0.3953780927198059
hai-train1.csv,P1_LIT01,1,0.9999593786315272
hai-train1.csv,P1_LIT01,10,0.9986360954441151
hai-train1.csv,P1_LIT01,60,0.9623372734492522
hai-train1.csv,P1_LIT01,300,0.9328036086985934
hai-train1.csv,P1_PCV01D,1,0.9996872274478852
hai-train1.csv,P1_PCV01D,10,0.9756827028909473
hai-train1.csv,P1_PCV01D,60,0.44325892050324067
hai-train1.csv,P1_PCV01D,300,0.3530844513222161
hai-train1.csv,P1_PCV01Z,1,0.9976580678005976
hai-train1.csv,P1_PCV01Z,10,0.9623808008105357
hai-train1.csv,P1_PCV01Z,60,0.4500321811993641
hai-train1.csv,P1_PCV01Z,300,0.35413376537631036
