feature_1,feature_2,mean_absolute_correlation_change,max_absolute_correlation_change,mean_signed_correlation_change,contributing_test_files
P2_MASW,P2_SIT01,0.7764867644739429,0.7764867644739429,0.7764867644739429,1
P2_MASW_Lamp,P2_SIT01,0.7764867644739429,0.7764867644739429,0.7764867644739429,1
P2_ManualGO,P2_SIT01,0.7764867644739429,0.7764867644739429,0.7764867644739429,1
P2_AutoGO,P2_SIT01,0.7764867644739423,0.7764867644739423,-0.7764867644739423,1
P2_ATSW_Lamp,P2_SIT01,0.7764867644739423,0.7764867644739423,-0.7764867644739423,1
P2_MASW_Lamp,P2_SCO,0.6799629830742214,0.6799629830742214,0.6799629830742214,1
P2_ManualGO,P2_SCO,0.6799629830742214,0.6799629830742214,0.6799629830742214,1
P2_MASW,P2_SCO,0.6799629830742214,0.6799629830742214,0.6799629830742214,1
P2_ATSW_Lamp,P2_SCO,0.6799629830742202,0.6799629830742202,-0.6799629830742202,1
P2_AutoGO,P2_SCO,0.6799629830742202,0.6799629830742202,-0.6799629830742202,1
P1_FCV03D,x1002_07_SETPOINT_OUT,0.5945385632250273,0.9107130878678694,0.5945385632250273,2
P1_FCV03Z,x1002_07_SETPOINT_OUT,0.5908846374155358,0.9083904954658473,0.5908846374155358,2
P2_VIBTR03,P2_VT01,0.5726913500367956,1.1034087691729617,0.5307174191361661,2
P1_PCV01D,x1001_15_ASSIGN_OUT,0.522607110139532,0.527015586147781,-0.522607110139532,2
P1_FCV03D,P1_LIT01,0.5003574372867966,0.958799590278328,0.5003574372867966,2
P1_PCV01D,P4_ST_PO,0.49042179096439853,0.5204993775411267,-0.49042179096439853,2
P2_AutoSD,P2_VIBTR03,0.48980821850800604,0.7831311564685607,0.29332293796055464,2
P1_PCV01D,P4_ST_GOV,0.48962944045247153,0.4923146405460518,-0.48962944045247153,2
P2_ManualSD,P2_VIBTR03,0.4890630633305769,0.4890630633305769,0.4890630633305769,1
P1_FCV03Z,P1_LIT01,0.4887991392724117,0.9561380071406582,0.4887991392724117,2
P1_FCV03D,P4_ST_PS,0.48453709918113863,0.8659205529016163,-0.48453709918113863,2
P1_FCV03Z,P4_ST_PS,0.4843398789813576,0.8635110210443849,-0.4843398789813576,2
P2_VIBTR02,P2_VT01,0.48273481290112513,0.9263207410696067,-0.48273481290112513,2
P2_SCO,P2_VIBTR03,0.469348940952721,0.7531089632275904,0.28376002227486935,2
P1_PCV02Z,P2_ManualSD,0.4619194893210392,0.4619194893210392,-0.4619194893210392,1
P1_PCV01Z,x1001_15_ASSIGN_OUT,0.456288848199283,0.47250524973241004,-0.456288848199283,2
P2_SIT01,P2_VT01,0.4534067559366868,0.8986410675522967,0.4534067559366868,2
P1_PCV01D,P3_LCP01D,0.4443786956124166,0.480956848012791,0.4443786956124166,2
P2_AutoSD,P2_VT01,0.44288503970721294,0.8528786563164169,0.40999361660920397,2
P1_PCV01D,P4_LD,0.4323962418346739,0.43917867391605814,-0.4323962418346739,2
P2_SCO,P2_VT01,0.4276895499679036,0.825197559515606,0.39750800954770243,2
P1_FCV03D,P1_FT03,0.4274085109945731,0.43445196390770313,-0.007043452913129994,2
P1_FCV03D,P1_FT03Z,0.423394420379094,0.4437636553055718,-0.020369234926477825,2
P1_LIT01,x1002_07_SETPOINT_OUT,0.4228911643542431,0.7988787944518313,-0.4228911643542431,2
P1_TIT01,x1002_07_SETPOINT_OUT,0.41895309235748074,0.4825169308820186,-0.06356383852453784,2
P4_ST_TT01,x1002_07_SETPOINT_OUT,0.41894911433767057,0.4821428735659069,-0.06319375922823633,2
P1_PCV01Z,P4_ST_PO,0.4163761511639685,0.4561265352461333,-0.4163761511639685,2
P1_PCV01Z,P4_ST_GOV,0.4150288166760431,0.4294101879672555,-0.4150288166760431,2
P1_PCV01Z,P3_LCP01D,0.4083549431767624,0.42484142911893463,0.4083549431767624,2
P1_PIT01,x1001_15_ASSIGN_OUT,0.4078222417247286,0.49844106377731046,-0.4078222417247286,2
P1_PCV01D,P4_HT_PO,0.4057466777346068,0.45615166362788795,-0.4057466777346068,2
P1_PCV01D,P3_LCV01D,0.4023835310635899,0.45127918025195646,-0.4023835310635899,2
P1_PCV01D,P1_PCV02Z,0.3936608241628764,0.472590239856929,-0.3936608241628764,2
P1_PCV01D,P4_ST_LD,0.3909976936964071,0.4244903146199565,-0.3909976936964071,2
P1_TIT01,P4_ST_PS,0.389804612844672,0.43649312759151915,0.046688514746847154,2
P4_ST_PS,P4_ST_TT01,0.38875349705466467,0.4359329659226029,0.04717946886793825,2
