source_file,event_number,start_time,end_time,n_points,feature,pre_mean,during_mean,post_mean,normal_mean,normal_std,threshold_defined,response_rule,pre_event_median,pre_event_mode,pre_event_window_samples,file_normal_std,file_normal_constant,reaction_threshold_sigma,reaction_sustain_samples,response_detected,preexisting_excursion,reaction_delay_seconds,peak_abs_deviation_from_pre_median_sd,recovery_threshold_sigma,recovery_sustain_samples,recovery_search_seconds,recovery_search_actual_samples,recovery_detected,recovery_not_observed_within_horizon,recovery_right_censored,recovery_delay_seconds,during_vs_normal_sd,during_vs_pre_sd,post_vs_normal_sd
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FCV01D,11.460254831932772,5.425117899159664,3.6892505462184872,28.950903835237852,22.84270615719168,True,3_sigma_from_pre_median,13.801435,6.30596,300,22.84270615719168,False,3.0,3,False,False,,0.4164749541728375,1.0,10,600,600,False,False,False,,-1.029903627625637,-0.26420411361256496,-1.1058958214137038
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FCV01Z,11.420228697478992,4.961882899159664,3.612599201680673,28.743162702718596,23.169097266768347,True,3_sigma_from_pre_median,14.00146,14.95514,300,23.169097266768347,False,3.0,3,False,False,,0.4356527094595722,1.0,10,600,600,False,False,False,,-1.026422373290678,-0.2787482707659307,-1.0846587250113937
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FCV02D,87.32693668067226,100.0,100.0,47.26010811501597,40.896481276676205,True,3_sigma_from_pre_median,100.0,100.0,300,40.896481276676205,False,3.0,3,False,False,,0.0,1.0,10,600,600,False,False,False,,1.2895948560509112,0.3098815087193174,1.2895948560509112
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FCV02Z,74.92086340336132,97.33300785714286,97.34073294117647,42.789159830455326,37.76975658121236,True,3_sigma_from_pre_median,64.87808,97.32208,300,37.76975658121236,False,3.0,3,False,False,,0.8596001917616239,1.0,10,600,600,False,False,False,,1.444114364608297,0.5933886390183915,1.4443188955540287
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FCV03D,52.378880504201675,52.60340928571429,52.697248403361336,51.87251587839825,1.0646258364164685,True,3_sigma_from_pre_median,52.43064,52.44542,300,1.0646258364164685,False,3.0,3,False,False,,1.9589793227450354,1.0,10,600,600,False,False,False,,0.68652608486023,0.2108992416231243,0.7746688993939311
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FCV03Z,53.12275605042016,53.14814323529413,53.44370294117648,52.52241599345341,1.0746685930744746,True,3_sigma_from_pre_median,53.05634,53.05634,300,1.0746685930744746,False,3.0,3,False,False,,2.087192288352804,1.0,10,600,600,False,False,False,,0.5822513525314852,0.023623268640745782,0.8572753997466362
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FT01,57.09269815126051,57.90532651260504,68.88781037815127,57.8119164419138,7.122921026465356,True,3_sigma_from_pre_median,57.8308,57.06784,300,7.122921026465356,False,3.0,3,True,False,34.0,4.900298609280076,1.0,10,600,600,True,False,False,8.0,0.01311401184207641,0.11408639213114952,1.5549651463331917
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FT01Z,297.5672452100841,301.78997890756307,358.7008853361345,301.0186170769713,37.09807579445848,True,3_sigma_from_pre_median,301.10565,297.13321,300,37.09807579445848,False,3.0,3,True,False,35.0,4.898793430875105,1.0,10,600,600,True,False,False,9.0,0.02079250241617675,0.11382621893585533,1.5548587635313282
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FT02,81.96436495798318,8.004125126050418,4.620578739495801,962.7966460148181,1002.1838417006109,True,3_sigma_from_pre_median,58.87984,4.99723,300,1002.1838417006109,False,3.0,3,False,False,,0.05452649277129798,1.0,10,600,600,False,False,False,,-0.9527119488062942,-0.07379907433593148,-0.9560881221646803
hai-test1.csv,1,2022-08-12 16:25:04,2022-08-12 16:29:01,238,P1_FT02Z,393.850921722689,42.17552470588236,24.061982268907567,1519.2674854532622,1257.579495817021,True,3_sigma_from_pre_median,314.015795,26.01891,300,1257.579495817021,False,3.0,3,False,False,,0.23216770468280745,1.0,10,600,600,False,False,False,,-1.1745515616790068,-0.2796446651575939,-1.1889550586326578
