feature,eligible_events,detected_responses,median_reaction_delay_seconds,median_peak_abs_deviation_sd,detected_recoveries,median_recovery_delay_seconds,right_censored_recoveries,response_rate,recovery_rate_among_responses,preexisting_excursion_events
P3_FIT01,49,20,72.0,2.9347931046533717,20,5.5,0,0.40816326530612246,1.0,3
P1_FT01Z,52,19,70.0,2.2400518965567597,19,8.0,0,0.36538461538461536,1.0,0
P1_PCV01D,52,17,71.0,1.850942150771293,17,29.0,0,0.3269230769230769,1.0,0
P1_FT01,52,17,73.0,1.8246527779611617,17,6.0,0,0.3269230769230769,1.0,0
P1_PCV01Z,52,15,54.0,1.8614829072586803,15,39.0,0,0.28846153846153844,1.0,0
P1_PIT01,52,15,85.0,1.8377274682033313,15,80.0,0,0.28846153846153844,1.0,0
P4_HT_FD,52,14,82.5,10.475598961353763,14,1.0,0,0.2692307692307692,1.0,0
P4_ST_PT01,52,14,87.5,1.7776127738377066,14,81.0,0,0.2692307692307692,1.0,0
P1_LCV01D,51,12,74.0,1.734020524787752,12,93.5,0,0.23529411764705882,1.0,1
P1_LCV01Z,51,11,79.0,1.7878591676516367,11,102.0,0,0.21568627450980393,1.0,1
P3_PIT01,50,9,72.0,1.4787498797205614,9,1.0,0,0.18,1.0,2
P1_PCV02D,52,9,83.0,0.0,9,1.0,0,0.17307692307692307,1.0,0
P1_FCV03D,52,8,34.5,0.6548461452368097,8,20.0,0,0.15384615384615385,1.0,0
P1_FCV03Z,52,8,41.0,0.6472028467457203,8,22.0,0,0.15384615384615385,1.0,0
P1_FT03Z,52,7,32.0,0.5846978833362174,7,21.0,0,0.1346153846153846,1.0,0
P1_FT03,52,7,32.0,0.5654574572879822,7,21.0,0,0.1346153846153846,1.0,0
P1_PCV02Z,52,7,92.0,0.1285306515122752,5,31.0,2,0.1346153846153846,0.7142857142857143,0
P2_SCO,52,4,29.5,0.016694464344862898,4,1.0,0,0.07692307692307693,1.0,0
P4_ST_GOV,52,3,78.0,1.8515357617476595,3,31.0,0,0.057692307692307696,1.0,0
P4_ST_PO,52,3,77.0,1.8412972224636626,3,33.0,0,0.057692307692307696,1.0,0
P1_LIT01,52,3,128.0,0.44129969068281316,3,64.0,0,0.057692307692307696,1.0,0
P2_SIT01,52,3,29.0,0.2643925361909111,3,1.0,0,0.057692307692307696,1.0,0
P4_ST_LD,52,2,61.0,1.8175637591995453,2,68.5,0,0.038461538461538464,1.0,0
x1001_15_ASSIGN_OUT,52,2,72.5,1.6956382820196496,2,73.0,0,0.038461538461538464,1.0,0
P2_VIBTR01,52,2,28.5,1.5736391393811735,2,4.0,0,0.038461538461538464,1.0,0
P2_VIBTR02,52,2,28.0,1.5667918849239053,1,416.0,1,0.038461538461538464,0.5,0
P2_VIBTR03,52,2,28.5,1.5316507573802953,2,83.0,0,0.038461538461538464,1.0,0
P2_VT01,52,2,28.5,1.4615066306085784,1,87.0,1,0.038461538461538464,0.5,0
P2_VIBTR04,52,2,28.5,1.4552437055639404,1,1.0,1,0.038461538461538464,0.5,0
P2_AutoSD,52,2,27.0,0.0,2,1.0,0,0.038461538461538464,1.0,0
P2_Emerg,52,2,27.0,,2,1.0,0,0.038461538461538464,1.0,0
P2_OnOff,52,2,27.0,,2,1.0,0,0.038461538461538464,1.0,0
P4_ST_FD,52,1,490.0,3.078185983166942,1,172.0,0,0.019230769230769232,1.0,0
P2_SCST,52,1,1213.0,1.5361950034946856,1,62.0,0,0.019230769230769232,1.0,0
P4_ST_TT01,52,1,1693.0,0.5958452808742509,1,556.0,0,0.019230769230769232,1.0,0
P1_TIT01,52,1,1691.0,0.5713239808535191,1,542.0,0,0.019230769230769232,1.0,0
P1_PIT02,52,1,2026.0,0.2990590631833018,1,18.0,0,0.019230769230769232,1.0,0
P2_24Vdc,52,0,,2.7313185134468396,0,,0,0.0,,0
P3_LCV01D,52,0,,1.9528741806435552,0,,0,0.0,,0
P4_HT_PO,52,0,,1.947491552854635,0,,0,0.0,,0
P3_LCP01D,52,0,,1.8244726284393185,0,,0,0.0,,0
P4_LD,52,0,,1.7837796827833707,0,,0,0.0,,0
x1003_24_SUM_OUT,52,0,,0.8436961596766603,0,,0,0.0,,0
P3_LIT01,52,0,,0.6522395069762941,0,,0,0.0,,0
P1_TIT03,52,0,,0.6242742443029958,0,,0,0.0,,0
P1_FCV01D,52,0,,0.4783999840364479,0,,0,0.0,,0
P1_FCV01Z,52,0,,0.4476121424396974,0,,0,0.0,,0
P1_TIT02,52,0,,0.3904104100610345,0,,0,0.0,,0
x1003_10_SETPOINT_OUT,52,0,,0.2736004647970405,0,,0,0.0,,0
P1_FT02Z,52,0,,0.2710338654503065,0,,0,0.0,,0
P1_PP04,52,0,,0.23542844958033773,0,,0,0.0,,0
P1_FT02,52,0,,0.1364194367191145,0,,0,0.0,,0
P1_FCV02Z,52,0,,0.00039742175819507597,0,,0,0.0,,0
P1_FCV02D,52,0,,0.0,0,,0,0.0,,0
P1_PP04D,52,0,,0.0,0,,0,0.0,,0
P1_PP04SP,52,0,,0.0,0,,0,0.0,,0
P2_ATSW_Lamp,52,0,,0.0,0,,0,0.0,,0
P2_AutoGO,52,0,,0.0,0,,0,0.0,,0
P2_MASW,52,0,,0.0,0,,0,0.0,,0
P2_MASW_Lamp,52,0,,0.0,0,,0,0.0,,0
P2_ManualGO,52,0,,0.0,0,,0,0.0,,0
P2_ManualSD,52,0,,0.0,0,,0,0.0,,0
P4_HT_PS,52,0,,0.0,0,,0,0.0,,0
P4_ST_PS,52,0,,0.0,0,,0,0.0,,0
x1001_05_SETPOINT_OUT,52,0,,0.0,0,,0,0.0,,0
x1002_07_SETPOINT_OUT,52,0,,0.0,0,,0,0.0,,0
x1002_08_SETPOINT_OUT,52,0,,0.0,0,,0,0.0,,0
x1003_18_SETPOINT_OUT,52,0,,0.0,0,,0,0.0,,0
P1_PIT01_HH,52,0,,,0,,0,0.0,,0
