feature,prefix,cardinality_category,global_unique_count_or_lower_bound,global_unique_count_exact,train_cardinality_category,train_unique_count_or_lower_bound,train_unique_count_exact,global_mean,global_std,global_min,global_max,global_missing_rate,global_zero_rate
P1_FCV01D,P1,high_cardinality,201,False,high_cardinality,201,False,28.87830703307927,24.233226623746663,0.0,92.23854,0.0,0.030340447154471546
P1_FCV01Z,P1,high_cardinality,201,False,high_cardinality,201,False,28.70717459638381,24.501498662364728,0.31433,92.19513,0.0,0.0
P1_FCV02D,P1,high_cardinality,201,False,high_cardinality,201,False,48.23087467013888,41.16906481247417,15.0,100.0,0.0,0.0
P1_FCV02Z,P1,high_cardinality,201,False,high_cardinality,201,False,43.77150065632622,38.29482882642774,12.29248,97.72644,0.0,0.0
P1_FCV03D,P1,high_cardinality,201,False,high_cardinality,201,False,54.56844083681403,3.4126191059248887,42.45292,71.54047,0.0,0.0
P1_FCV03Z,P1,high_cardinality,201,False,high_cardinality,201,False,55.26193259612128,3.493284670503657,43.26019,72.73254,0.0,0.0
P1_FT01,P1,high_cardinality,201,False,high_cardinality,201,False,62.49564880242209,11.310602003272493,0.80104,498.23761,0.0,0.0
P1_FT01Z,P1,high_cardinality,201,False,high_cardinality,201,False,324.9564898763719,47.45978034053427,4.17075,1424.05334,0.0,0.0
P1_FT02,P1,high_cardinality,201,False,high_cardinality,201,False,940.3383143008384,1000.1225019164133,1.18252,2513.92358,0.0,0.0
P1_FT02Z,P1,high_cardinality,201,False,high_cardinality,201,False,1487.7147744896936,1259.440247451487,6.15698,3190.0,0.0,0.0
P1_FT03,P1,high_cardinality,201,False,high_cardinality,201,False,245.8035414199441,14.530387582972155,167.88483,292.62543,0.0,0.0
P1_FT03Z,P1,high_cardinality,201,False,high_cardinality,201,False,996.730018713694,29.60061787679269,821.7774,1080.26978,0.0,0.0
P1_LCV01D,P1,high_cardinality,201,False,high_cardinality,201,False,15.340892089066736,3.1920222179923776,0.0,97.0,0.0,0.00046832655826558266
P1_LCV01Z,P1,high_cardinality,201,False,high_cardinality,201,False,15.222747846129742,3.164099766368153,0.29907,98.32915,0.0,0.0
P1_LIT01,P1,high_cardinality,201,False,high_cardinality,201,False,349.96912746763206,28.847879118209516,171.35422,703.78827,0.0,0.0
P1_PCV01D,P1,high_cardinality,201,False,high_cardinality,201,False,27.9603231977727,2.765489376162666,0.0,88.12645,0.0,2.4559620596205962e-05
P1_PCV01Z,P1,high_cardinality,201,False,high_cardinality,201,False,28.416041090150745,2.7966394075762167,0.35248,89.77661,0.0,0.0
P1_PCV02D,P1,high_cardinality,201,False,high_cardinality,201,False,12.004365420503047,0.19059989992325665,12.0,25.0,0.0,0.0
P1_PCV02Z,P1,high_cardinality,201,False,medium_cardinality,115,True,11.87111861985095,0.24879412499206952,11.64398,25.26245,0.0,0.0
P1_PIT01,P1,high_cardinality,201,False,high_cardinality,201,False,1.1109010799796746,0.10910233868553262,-0.00595,2.04941,0.0,0.0
P1_PIT01_HH,P1,constant,1,True,constant,1,True,524320.0,0.0,524320.0,524320.0,0.0,0.0
