feature_1,feature_2,pearson_correlation,absolute_correlation
P2_AutoGO,P2_ManualGO,-1.0000000000000007,1.0000000000000007
P2_AutoGO,P2_MASW_Lamp,-1.0000000000000007,1.0000000000000007
P2_AutoGO,P2_MASW,-1.0000000000000007,1.0000000000000007
P2_ATSW_Lamp,P2_ManualGO,-1.0000000000000007,1.0000000000000007
P2_ATSW_Lamp,P2_MASW_Lamp,-1.0000000000000007,1.0000000000000007
P2_ATSW_Lamp,P2_MASW,-1.0000000000000007,1.0000000000000007
P2_ATSW_Lamp,P2_AutoGO,1.0,1.0
P2_MASW_Lamp,P2_ManualGO,1.0,1.0
P2_MASW,P2_ManualGO,1.0,1.0
P2_MASW,P2_MASW_Lamp,1.0,1.0
P1_FT02Z,x1003_10_SETPOINT_OUT,0.9996698577114546,0.9996698577114546
P1_TIT01,P4_ST_TT01,0.9996599958984538,0.9996599958984538
P4_ST_GOV,P4_ST_PO,0.9993229944372843,0.9993229944372843
P3_LCV01D,P4_HT_PO,0.9990654546178489,0.9990654546178489
P1_FCV01D,P1_FCV01Z,0.9983790264011257,0.9983790264011257
P1_FT03,P1_FT03Z,0.9967684669683029,0.9967684669683029
P1_FT01,P1_FT01Z,0.9952975904179976,0.9952975904179976
P1_FT03Z,x1002_08_SETPOINT_OUT,0.9910984521371525,0.9910984521371525
P1_FCV03D,P1_FCV03Z,0.9910625142409953,0.9910625142409953
P1_FT03,x1002_08_SETPOINT_OUT,0.9883246141134724,0.9883246141134724
P1_FCV01Z,P1_FT02,0.9814556190595009,0.9814556190595009
P1_LCV01D,P1_LCV01Z,0.9813866539074316,0.9813866539074316
P1_FCV01D,P1_FT02,0.9801412589764995,0.9801412589764995
P1_PCV01D,P1_PCV01Z,0.976646428308025,0.976646428308025
P1_LIT01,x1002_07_SETPOINT_OUT,0.9759307482194239,0.9759307482194239
P1_PIT01,P4_ST_PT01,0.9733707330643622,0.9733707330643622
P1_FT02,P1_FT02Z,0.9731051574990812,0.9731051574990812
P2_SCO,P2_SIT01,0.97259285001624,0.97259285001624
P1_FT02,x1003_10_SETPOINT_OUT,0.9725819228038001,0.9725819228038001
P2_ATSW_Lamp,P2_SCO,0.9668983001832336,0.9668983001832336
P2_AutoGO,P2_SCO,0.9668983001832336,0.9668983001832336
P2_MASW_Lamp,P2_SCO,-0.9668983001832333,0.9668983001832333
P2_ManualGO,P2_SCO,-0.9668983001832333,0.9668983001832333
P2_MASW,P2_SCO,-0.9668983001832333,0.9668983001832333
P1_FCV01Z,P1_FT02Z,0.9662321944161704,0.9662321944161704
P1_FCV01Z,x1003_10_SETPOINT_OUT,0.965650799784851,0.965650799784851
P1_FCV01D,x1003_10_SETPOINT_OUT,0.9639529622868205,0.9639529622868205
P1_FCV01D,P1_FT02Z,0.9638673556405414,0.9638673556405414
P4_ST_GOV,P4_ST_LD,0.9589353953035014,0.9589353953035014
P4_ST_LD,P4_ST_PO,0.9538520892800653,0.9538520892800653
