,P1_FCV01D,P1_FCV01Z,P1_FCV02D,P1_FCV02Z,P1_FCV03D,P1_FCV03Z,P1_FT01,P1_FT01Z,P1_FT02,P1_FT02Z,P1_FT03,P1_FT03Z,P1_LCV01D,P1_LCV01Z,P1_LIT01,P1_PCV01D,P1_PCV01Z,P1_PCV02D,P1_PCV02Z,P1_PIT01,P1_PIT02,P1_PP04,P1_PP04D,P1_PP04SP,P1_TIT01,P1_TIT02,P1_TIT03,P2_24Vdc,P2_ATSW_Lamp,P2_AutoGO,P2_AutoSD,P2_MASW,P2_MASW_Lamp,P2_ManualGO,P2_ManualSD,P2_SCO,P2_SCST,P2_SIT01,P2_VIBTR01,P2_VIBTR02,P2_VIBTR03,P2_VIBTR04,P2_VT01,P3_FIT01,P3_LCP01D,P3_LCV01D,P3_LIT01,P3_PIT01,P4_HT_FD,P4_HT_PO,P4_HT_PS,P4_LD,P4_ST_FD,P4_ST_GOV,P4_ST_LD,P4_ST_PO,P4_ST_PS,P4_ST_PT01,P4_ST_TT01,x1001_05_SETPOINT_OUT,x1001_15_ASSIGN_OUT,x1002_07_SETPOINT_OUT,x1002_08_SETPOINT_OUT,x1003_10_SETPOINT_OUT,x1003_18_SETPOINT_OUT,x1003_24_SUM_OUT
P1_FCV01D,1.0,0.9983790264011257,-0.7510172108688666,-0.7677029526662966,-0.05927061151140079,-0.058409769025139,-0.03520618746301242,-0.034553332894716404,0.9801412589764995,0.9638673556405414,-0.053514559120969085,-0.04913481455221511,-0.023046319089683073,-0.0215956028157399,-0.0046661300532261476,0.018725054357024522,0.019579003867989237,-0.004819572070166494,0.08595759621774918,0.01596244724270673,-0.12104702397113858,-0.30894837812938375,-0.17723715382071023,0.019544875068215603,-0.21874770364879922,-0.6879180974504995,-0.7248037814985739,0.0985812988951521,-0.006981620832014283,-0.006981620832014283,-0.05297065875738832,0.006981620832013516,0.006981620832013516,0.006981620832013516,-0.034003144744727494,-0.022636801516804847,0.11243687458257472,-0.003351487972985381,0.16007536665335934,0.17545836110954993,0.0932621693355501,0.19325979589730194,0.12798584979800645,0.003221306482484615,0.0024702604484720275,0.00825085426192606,-0.020967304426750523,0.01311090682121422,-0.006883294618152572,0.008840812766217815,0.022626559375691153,0.006249498464585602,0.0023238227505235193,0.008864078810550902,0.0037863659576480684,0.0063360309879976,-0.08342726125178215,0.009291065621964795,-0.22153949108689225,-0.0015081549851072356,0.008295617063086043,-0.007064736576808474,-0.0511601723801945,0.9639529622868205,0.3821925425559814,0.3622771077984938
P1_FCV01Z,0.9983790264011257,1.0,-0.746160499347409,-0.7702282404898555,-0.05903050072126697,-0.05827821643427059,-0.0351965676255993,-0.03455285713800724,0.9814556190595009,0.9662321944161704,-0.05339074028565119,-0.04904117303325472,-0.02235784272944057,-0.02107797559964563,-0.004553219312372876,0.01732080265900741,0.01834088029932656,-0.00458190035606892,0.0859658370773796,0.014925903118059811,-0.11902035947075253,-0.3155171799487602,-0.18339684893222843,0.019963403604000198,-0.21330247226716947,-0.6871764721901004,-0.7264024783811216,0.09826921216431171,-0.0076364236634025645,-0.0076364236634025645,-0.052548778769289185,0.007636423663401871,0.007636423663401871,0.007636423663401871,-0.03365028053822863,-0.0231566106554544,0.1132306148110142,-0.003686674104172276,0.15975342253278513,0.17588043156981692,0.0932049839157127,0.19294196883534523,0.1279441077085216,0.003867188344601863,0.00373204647848897,0.0073513498650707694,-0.020049007506775823,0.013853642695422172,-0.007373782219032947,0.007913472984297223,0.022619488588706854,0.005151951988308624,0.0016719913049433363,0.007470861447028878,0.0027846770529111726,0.004991954376322423,-0.08368096818451093,0.008283367133583323,-0.21611734337880448,-0.0005146434537009421,0.0073372233680286695,-0.00682531791157785,-0.050900633106259516,0.965650799784851,0.38049419779459065,0.36019770648007526
P1_FCV02D,-0.7510172108688666,-0.746160499347409,1.0,0.9004051061747058,0.04282376203506639,0.041385582408155375,0.03385537001971788,0.033387151875927966,-0.7240889590385339,-0.8248053492815255,0.03607709545492389,0.033665057934587635,0.020724435041269303,0.019258456919621993,-0.005373125035691807,-0.03229542369858579,-0.034743958814471884,-0.004290807998067287,-0.044915566920361964,-0.021038810281844237,-0.3850238651367297,0.19406288031378777,0.08071823849547119,-0.014960207095998742,0.3237154465292431,0.8101447424166791,0.699887364661618,-0.06420221958683808,0.017727258238249007,0.017727258238249007,0.0193915411343909,-0.017727258238248625,-0.017727258238248625,-0.017727258238248625,0.015834596848933954,0.023377608778619923,-0.07552431765250053,0.007221051562232625,-0.11058908299518902,-0.11300168261817517,-0.05713566703083625,-0.12019860486017808,-0.0762598751189657,-0.007769349150672575,-0.005529909633706386,-0.003397402930864153,0.008874427643167914,-0.010537948311349622,0.00592023550600447,-0.003814377293737768,0.000344756229573877,0.0005485464382074466,0.0008932478697009199,-0.0028239059695613147,0.0034081966648464215,0.000800915945034709,0.045337141076994894,-0.015713771477125,0.3263958889787848,-0.00203595916256392,-0.00394023628524535,-0.002811628574507175,0.03609380807341773,-0.8250673105189328,-0.22002990621749277,-0.20784837668326797
P1_FCV02Z,-0.7677029526662966,-0.7702282404898555,0.9004051061747058,1.0,0.04378637278534994,0.04270292778690644,0.030834790073301675,0.03048307498210674,-0.7412197190656593,-0.8696640376328024,0.03825801840823348,0.035859869814109456,0.01141158546421234,0.011009464429118659,-0.004697897587368931,-0.028490839049497545,-0.030276027094497115,-0.009653526754211343,-0.046489893451899314,-0.012230916547329324,-0.4947662542495737,0.2030502528719556,0.08558889073697676,-0.015558134478096093,0.33864743473736436,0.872763625078767,0.748403907080253,-0.06821819175630521,0.020093656346693564,0.020093656346693564,0.01844213722703948,-0.020093656346693245,-0.020093656346693245,-0.020093656346693245,0.010964742606616257,0.025930340215012972,-0.08576559030729254,0.007652753028468469,-0.10937894913200197,-0.11298282987256093,-0.05823573981616092,-0.12050138530105171,-0.07193752043157647,-0.008100475538871348,-0.00770611065021452,-0.0028635002988194732,0.01019132657989135,-0.011363964797460581,0.004824505811574191,-0.003312597650105706,0.003788697728296829,0.0024613339016326566,0.0043994232142163915,0.0008330561689750211,0.006543428008374865,0.0050276617889127885,0.05345271500646497,-0.00567116275754213,0.34137159678912743,-0.004138177594285028,-0.0010684230429840996,-0.0038591722121711467,0.03773603149201066,-0.8695106674049106,-0.22262865877637433,-0.20899622713113397
P1_FCV03D,-0.05927061151140079,-0.05903050072126697,0.04282376203506639,0.04378637278534994,1.0,0.9910625142409953,0.4095621832568886,0.4116322377892039,-0.05566135620349312,-0.05353071868348362,0.7365773527764309,0.7320671644415631,0.3473931029205613,0.33772631140582093,-0.46907398849870735,0.2746792022543026,0.26834150986656685,0.00527345671537768,0.034152307554290225,-0.05250103254558719,0.002940531351192514,-0.003911861695684411,-0.007444667661168605,-0.25644935643036465,-0.10618234564115048,0.01847124558821703,-0.0615855293619824,-0.04997973537551119,-0.014810894743102892,-0.014810894743102892,-0.024631773417089126,0.014810894743103155,0.014810894743103155,0.014810894743103155,0.029268245750853353,-0.010036307573146965,0.018974723095568836,0.02571993505186988,0.05226299513552371,-0.10024527134878958,0.1466058880714205,-0.18332638519921216,-0.016657113510988,0.011419371508082789,0.029263991745030644,-0.022878165612634213,0.02628076702519345,0.022770201499385592,-0.0020736967402436297,-0.023048517994820165,-0.005858734754428759,-0.0213787176333775,-0.010976829354375382,-0.017968992001040025,-0.016584429475452335,-0.02057853240775157,-0.008885823098105995,-0.047231020594034875,-0.10567645071019163,0.06770696986588472,0.00929280907813995,-0.45748646981769303,0.7428977179689059,-0.053640015803464634,-0.2386738492770141,-0.23038261686056344
P1_FCV03Z,-0.058409769025139,-0.05827821643427059,0.041385582408155375,0.04270292778690644,0.9910625142409953,1.0,0.41376547722319257,0.41625192307833025,-0.05509709572968318,-0.052794693730055124,0.7459570463286556,0.7414786873987854,0.337757154135791,0.33392788923610106,-0.4668090619698714,0.2848409066283687,0.279229353463092,0.0037670166882538573,0.03461671017353819,-0.04299967028124109,0.0027934388376709422,-0.001795399157193518,-0.0046766224430985414,-0.2555475936399499,-0.1069709035628378,0.016664248327805935,-0.06100483795093328,-0.04748207381091503,-0.01285734268134154,-0.01285734268134154,-0.025479185204688466,0.012857342681341801,0.012857342681341801,0.012857342681341801,0.028334536422720772,-0.008449075105265873,0.016705376423124727,0.026524652920442076,0.05032762676087824,-0.09938713630785125,0.14392148135159616,-0.18178496659473076,-0.017019364180310026,0.006430641180540382,0.022466872797448096,-0.0184197042006472,0.027363082378426114,0.01611364264445676,-0.0012805528710386751,-0.018483617528883226,-0.007153627866124485,-0.016832816160851017,-0.0108691028752694,-0.013733774770588967,-0.012708980457558248,-0.016161969930624406,-0.011067827537949942,-0.0384133553908547,-0.10647154486075341,0.06981608672668299,0.014121409656940751,-0.4577582877820048,0.7416452358751217,-0.05287951248447711,-0.236287037606918,-0.22671352945048218
P1_FT01,-0.03520618746301242,-0.0351965676255993,0.03385537001971788,0.030834790073301675,0.4095621832568886,0.41376547722319257,1.0,0.9952975904179976,-0.03155979803779751,-0.0324794222408988,0.5524700636907681,0.5488836799991411,0.7079426460844198,0.7717324870516216,0.09722779861625454,0.6123590991003047,0.5695932982296815,-0.06487116215285353,0.015332918998884247,-0.1912364084262762,-0.00469111181100851,-0.00552486349793766,-0.009353397078000574,-0.12557142076604513,-0.014145110975370483,0.015933810963183394,-0.010589502186216937,-0.011122160508903661,-0.012027646278099546,-0.012027646278099546,0.013774674603432839,0.012027646278099895,0.012027646278099895,0.012027646278099895,0.001907980277514809,0.0024536756734372333,-0.01659903509635164,0.004698101890876427,0.016205047778305722,-0.025262360329813036,0.042754619079259204,-0.05888561618625417,0.009333256121264902,-0.15788977576280655,-0.17116590135165072,0.16031133102466275,0.06229042199449299,-0.15093696655955804,0.017652981325972903,0.1606634193445802,-0.032602709848091126,0.16284508836444314,0.03316567276807858,0.1733176891594997,0.12663236395807295,0.1662819072699909,0.0039792549291099025,-0.1929004746445561,-0.013336255383535497,0.04805947847438008,0.18708750440019342,0.10899135411856084,0.5001856652879507,-0.03234561563152329,-0.08989519154461445,-0.024514955202629998
P1_FT01Z,-0.034553332894716404,-0.03455285713800724,0.033387151875927966,0.03048307498210674,0.4116322377892039,0.41625192307833025,0.9952975904179976,1.0,-0.030854915859984126,-0.031857137235589694,0.557861072437065,0.5543131605626177,0.702454380515498,0.7678255291577877,0.10072700162370321,0.6187057333758263,0.5768309220894438,-0.06504534418943529,0.01633112153333607,-0.18242846992475167,-0.004672956209756701,-0.006412545922644494,-0.01017642980487798,-0.12595223699331604,-0.014821887430595218,0.015475287507440049,-0.011199313552554923,-0.011186353400565818,-0.013044424574944752,-0.013044424574944752,0.014644778027023823,0.013044424574945123,0.013044424574945123,0.013044424574945123,0.0022271181698798916,0.0015783129074249719,-0.01596215718267727,0.0038053262298564147,0.016161934049737023,-0.024449944559258373,0.042670731271839235,-0.05863746926972812,0.010130579810677326,-0.15560101131386178,-0.17204088624168143,0.16120796783519883,0.06289709144765578,-0.15276647548140052,0.01639941464722105,0.16163271627813636,-0.032137138687061834,0.16142598554699558,0.03334523578793938,0.17173551197344838,0.12405385830066859,0.16499741803165424,0.0027464747834579518,-0.18455123665151055,-0.01403160888494268,0.048762524555983636,0.18617423406512806,0.10880362056905486,0.5044648030750655,-0.03173488720011785,-0.09055470721037057,-0.025565103274169113
P1_FT02,0.9801412589764995,0.9814556190595009,-0.7240889590385339,-0.7412197190656593,-0.05566135620349312,-0.05509709572968318,-0.03155979803779751,-0.030854915859984126,1.0,0.9731051574990812,-0.04905053094079256,-0.044561461378002286,-0.01550118334642686,-0.013903335272951074,-0.0032068183658821,0.016996572619230474,0.01817058655299023,-0.007788326400793149,0.07257911986934901,0.008210804840880201,-0.15654448961390247,-0.3097037682615249,-0.1777359264280615,0.02274276575353779,-0.22005577578553204,-0.6852879695148401,-0.7143904569915621,0.08985023428495195,-0.007893962454357032,-0.007893962454357032,-0.04722210640176302,0.007893962454356324,0.007893962454356324,0.007893962454356324,-0.02878340189456704,-0.021238947772286982,0.10190039536283851,-0.00242257682907372,0.14859979759178618,0.15876633242546315,0.0889558697108413,0.17115920106111335,0.11850942040996665,0.005103624310514429,0.00648298226773207,0.003419775203255232,-0.01904380917846865,0.01428907188476381,-0.009600713688355817,0.003932701796648841,0.023736471271611066,-2.8237999539150932e-05,0.002065565492351276,0.0030214134653316588,-0.001790730378805179,0.0003294560185864149,-0.07903908118685356,0.0020725113855303095,-0.22267377784580278,-0.0059888067733895175,0.0012383926419865735,-0.005032667691809523,-0.04656622621343449,0.9725819228038001,0.347339886815386,0.3275977232077713
P1_FT02Z,0.9638673556405414,0.9662321944161704,-0.8248053492815255,-0.8696640376328024,-0.05353071868348362,-0.052794693730055124,-0.0324794222408988,-0.031857137235589694,0.9731051574990812,1.0,-0.04651444256388205,-0.04246719176757078,-0.01573266222053585,-0.01424543471504323,-0.00025668906041737997,0.024030298596384666,0.02566476422997494,-0.002410762820530698,0.06661447849472825,0.011395417609861763,0.05840777787244692,-0.3027033731377468,-0.16736267950948927,0.02102649978829831,-0.2718042869718848,-0.7963405323338724,-0.7734745933861782,0.08788828094275883,-0.012199478013448494,-0.012199478013448494,-0.03936921297857319,0.012199478013447757,0.012199478013447757,0.012199478013447757,-0.0250432428839359,-0.023486730442989986,0.10111803089896584,-0.0037778630544627327,0.14363674976509422,0.1517737915764872,0.08425623175914985,0.16283108926611994,0.10951151915644544,0.006351317841773786,0.006538844096759771,0.0036264963380063394,-0.01750473377178313,0.01322616546620582,-0.009431264058844308,0.004155084615284476,0.01567816966523738,-0.00011865964132480891,-0.00032741704564583893,0.0030551995518667426,-0.0023466588582388244,-0.00026576686300638604,-0.07379033121042838,0.004898439363077684,-0.27462179163889444,-0.0031995773700946293,0.002188894328848539,-0.002003204715327998,-0.04465280990904022,0.9996698577114546,0.32093010219046525,0.3027431348804656
