series,ratio,window_size,original_train_length,fit_pool_length,kept_length,model_train_length,validation_length,train_window_count,validation_window_count,scaler_fit_observation_count,validation_transform_observation_count,feasible
1,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
1,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
1,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
1,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
1,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
1,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
1,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
2,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
2,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
2,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
2,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
2,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
2,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
2,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
3,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
3,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
3,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
3,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
3,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
3,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
3,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
4,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
4,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
4,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
4,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
4,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
4,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
4,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
5,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
5,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
5,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
5,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
5,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
5,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
5,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
6,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
6,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
6,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
6,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
6,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
6,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
6,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
7,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
7,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
7,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
7,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
7,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
7,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
7,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
8,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
8,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
8,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
8,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
8,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
8,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
8,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
9,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
9,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
9,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
9,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
9,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
9,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
9,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
10,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
10,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
10,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
10,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
10,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
10,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
10,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
11,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
11,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
11,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
11,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
11,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
11,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
11,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
12,0.05,5,39938,35944,1798,1798,3994,1793,3989,1798,3994,True
12,0.1,5,39938,35944,3595,3595,3994,3590,3989,3595,3994,True
12,0.2,5,39938,35944,7189,7189,3994,7184,3989,7189,3994,True
12,0.4,5,39938,35944,14378,14378,3994,14373,3989,14378,3994,True
12,0.6,5,39938,35944,21567,21567,3994,21562,3989,21567,3994,True
12,0.8,5,39938,35944,28756,28756,3994,28751,3989,28756,3994,True
12,1.0,5,39938,35944,35944,35944,3994,35939,3989,35944,3994,True
13,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
13,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
13,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
13,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
13,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
13,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
13,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
14,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
14,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
14,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
14,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
14,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
14,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
14,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
15,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
15,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
15,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
15,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
15,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
15,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
15,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
16,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
16,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
16,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
16,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
16,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
16,0.8,5,50000,45000,36000,36000,5000,35995,4995,36000,5000,True
16,1.0,5,50000,45000,45000,45000,5000,44995,4995,45000,5000,True
17,0.05,5,50000,45000,2250,2250,5000,2245,4995,2250,5000,True
17,0.1,5,50000,45000,4500,4500,5000,4495,4995,4500,5000,True
17,0.2,5,50000,45000,9000,9000,5000,8995,4995,9000,5000,True
17,0.4,5,50000,45000,18000,18000,5000,17995,4995,18000,5000,True
17,0.6,5,50000,45000,27000,27000,5000,26995,4995,27000,5000,True
