dataset,file_or_session,ratio,stage,scope,channel,sample_count,unique_value_count,minimum,maximum,variance,variance_zero,iqr,iqr_zero,range,zero_range,constant,nan_count,infinite_count,nonfinite_count,nonfinite,finite,scaler_execution_ready,variation_available
GHL,series_01,5,normal,fit_pool,RT_level_ini,45000,7,0.0,2.700000047683716,0.16332726180553436,False,0.4931790828704834,False,2.700000047683716,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,RT_temperature.T,45000,6941,283.0332946777344,330.55419921875,186.06240844726562,False,21.50897216796875,False,47.520904541015625,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,C_temperature.T,45000,1058,273.1499938964844,328.8733215332031,469.7618103027344,False,5.155792236328125,False,55.72332763671875,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,RT_level,45000,9170,0.5,2.700000047683716,0.1687481552362442,False,0.49317920207977295,False,2.200000047683716,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,out_valve_act,45000,2,0.0,1.0,0.022831251844763756,False,0.0,True,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,dT_rand,45000,6,-0.5246437191963196,1.2944425344467163,0.3011089861392975,False,0.9863582253456116,False,1.8190862536430359,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,inv_valve_act,45000,2,0.0,1.0,0.02968449890613556,False,0.0,True,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,limiter.y,45000,6,277.7535705566406,295.9444274902344,30.110883712768555,False,9.86358642578125,False,18.19085693359375,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,inj_valve_act,45000,2,0.0,1.0,0.10597129911184311,False,0.0,True,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,Relaxing.active,45000,2,0.0,1.0,0.11421594023704529,False,0.0,True,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,boundary.m_flow_in,45000,2,0.0,20.0,42.38853454589844,False,0.0,True,20.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,dir_valve_act,45000,2,0.0,1.0,0.028158999979496002,False,0.0,True,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,dt_rand,45000,60,-2.52388072013855,2.1723074913024902,0.9125447869300842,False,1.3969542384147644,False,4.69618821144104,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,C_level,45000,1058,0.009999999776482582,0.3577214777469635,0.012298133224248886,False,0.197919562458992,False,0.3477214779704809,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,HT_temperature.T,45000,43570,283.1499938964844,332.999755859375,124.04421997070312,False,14.901359558105469,False,49.849761962890625,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,heater_act,45000,2,0.0,1.0,0.22700397670269012,False,1.0,False,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,HT_level,45000,2685,0.10000000149011612,0.6000000238418579,0.051782313734292984,False,0.5000000223517418,False,0.5000000223517418,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,limiter1.y,45000,60,74.76119232177734,121.72307586669922,91.25447845458984,False,13.96954345703125,False,46.961883544921875,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_pool,dL_rand,45000,6,-0.5246437191963196,1.2944425344467163,0.3011089861392975,False,0.9863582253456116,False,1.8190862536430359,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,RT_level_ini,2250,2,0.0,2.25,1.242215871810913,False,2.25,False,2.25,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,RT_temperature.T,2250,870,283.0332946777344,283.1499938964844,0.0010043951915577054,False,0.0175323486328125,False,0.11669921875,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,C_temperature.T,2250,1,273.1499938964844,273.1499938964844,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,RT_level,2250,894,0.5,2.249723196029663,0.18440565466880798,False,0.3214011490345001,False,1.749723196029663,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,out_valve_act,2250,1,0.0,0.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,dT_rand,2250,1,0.0,0.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,inv_valve_act,2250,1,0.0,0.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,limiter.y,2250,1,283.0,283.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,inj_valve_act,2250,2,0.0,1.0,0.23725607991218567,False,1.0,False,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,Relaxing.active,2250,1,0.0,0.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,boundary.m_flow_in,2250,2,0.0,20.0,94.9024429321289,False,20.0,False,20.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,dir_valve_act,2250,2,0.0,1.0,0.009246223606169224,False,0.0,True,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,dt_rand,2250,1,0.0,0.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,C_level,2250,1,0.009999999776482582,0.009999999776482582,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,HT_temperature.T,2250,2250,283.1499938964844,328.43121337890625,195.0941162109375,False,23.209449768066406,False,45.281219482421875,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,heater_act,2250,2,0.0,1.0,0.24655821919441223,False,1.0,False,1.0,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,HT_level,2250,23,0.10000000149011612,0.6000000238418579,0.061095040291547775,False,0.5000000223517418,False,0.5000000223517418,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fit_subset,limiter1.y,2250,1,100.0,100.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fit_subset,dL_rand,2250,1,0.0,0.0,0.0,True,0.0,True,0.0,True,True,0,0,0,False,True,True,False
GHL,series_01,5,normal,fixed_validation,RT_level_ini,5000,2,1.3488799333572388,2.700000047683716,0.14379583299160004,False,0.0,True,1.351120114326477,False,False,0,0,0,False,True,True,True
GHL,series_01,5,normal,fixed_validation,RT_temperature.T,5000,653,294.83050537109375,330.245849609375,110.06768798828125,False,8.634796142578125,False,35.41534423828125,False,False,0,0,0,False,True,True,True
