dataset,ratio,scope,total_file_channel_combinations,combination_unit,constant_file_channel_combinations,constant_by_source,pooled_constant_channel_count,iqr_zero_file_channel_combinations,variance_zero_file_channel_combinations,zero_range_file_channel_combinations,nonfinite_file_channel_combinations,scaler_execution_not_ready_file_channel_combinations,variation_available_file_channel_combinations,nan_file_channel_combinations,infinite_file_channel_combinations
GHL,5,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,5,fit_subset,475,series_channel,246,series_01=10;series_02=10;series_03=10;series_04=10;series_05=10;series_06=10;series_07=10;series_08=10;series_09=10;series_10=10;series_11=10;series_12=10;series_13=10;series_14=10;series_15=10;series_16=10;series_17=10;series_18=10;series_19=6;series_20=10;series_21=10;series_22=10;series_23=10;series_24=10;series_25=10,not_applicable,279,246,246,0,0,229,0,0
GHL,5,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
GHL,10,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,10,fit_subset,475,series_channel,150,series_01=6;series_02=6;series_03=6;series_04=6;series_05=6;series_06=6;series_07=6;series_08=6;series_09=6;series_10=6;series_11=6;series_12=6;series_13=6;series_14=6;series_15=6;series_16=6;series_17=6;series_18=6;series_19=6;series_20=6;series_21=6;series_22=6;series_23=6;series_24=6;series_25=6,not_applicable,326,150,150,0,0,325,0,0
GHL,10,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
GHL,20,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,20,fit_subset,475,series_channel,145,series_01=6;series_02=6;series_03=6;series_04=6;series_05=6;series_06=6;series_07=6;series_08=6;series_09=6;series_10=6;series_11=6;series_12=6;series_13=6;series_14=6;series_15=6;series_16=6;series_17=6;series_18=6;series_19=1;series_20=6;series_21=6;series_22=6;series_23=6;series_24=6;series_25=6,not_applicable,320,145,145,0,0,330,0,0
GHL,20,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
GHL,40,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,40,fit_subset,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,151,0,0,0,0,475,0,0
GHL,40,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
GHL,60,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,60,fit_subset,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,60,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
GHL,80,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,80,fit_subset,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,80,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
GHL,100,fit_pool,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,100,fit_subset,475,series_channel,0,series_01=0;series_02=0;series_03=0;series_04=0;series_05=0;series_06=0;series_07=0;series_08=0;series_09=0;series_10=0;series_11=0;series_12=0;series_13=0;series_14=0;series_15=0;series_16=0;series_17=0;series_18=0;series_19=0;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,150,0,0,0,0,475,0,0
GHL,100,fixed_validation,475,series_channel,36,series_01=0;series_02=0;series_03=0;series_04=9;series_05=0;series_06=0;series_07=0;series_08=1;series_09=1;series_10=0;series_11=0;series_12=9;series_13=6;series_14=0;series_15=9;series_16=0;series_17=0;series_18=0;series_19=1;series_20=0;series_21=0;series_22=0;series_23=0;series_24=0;series_25=0,not_applicable,221,36,36,0,0,439,0,0
