dataset,file_or_session,file_name,split,row_count,feature_count,channel_order_matches_reference,channel_set_matches_reference,model_input_order_canonicalized,input_reordered,timestamp_available,timestamp_start,timestamp_end,sampling_interval_seconds,irregular_gap_count,duplicate_timestamp_count,timestamp_reversal_count,missing_value_count,infinite_value_count,nonfinite_value_count,normal_train_end_exclusive,validation_rule,test_start,boundary_rule,integrity_passed,label_values_used
GHL,series_01,032_GHL_id_1_Sensor_tr_50000_1st_65001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_02,033_GHL_id_2_Sensor_tr_50000_1st_51001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_03,034_GHL_id_3_Sensor_tr_50000_1st_122001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_04,035_GHL_id_4_Sensor_tr_50000_1st_90001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_05,036_GHL_id_5_Sensor_tr_50000_1st_67147.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_06,037_GHL_id_6_Sensor_tr_50000_1st_80001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_07,038_GHL_id_7_Sensor_tr_50000_1st_100001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_08,039_GHL_id_8_Sensor_tr_50000_1st_63030.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_09,040_GHL_id_9_Sensor_tr_50000_1st_92001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_10,041_GHL_id_10_Sensor_tr_50000_1st_57001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_11,042_GHL_id_11_Sensor_tr_50000_1st_150001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_12,043_GHL_id_12_Sensor_tr_39938_1st_40038.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,39938,전체 정상 구간의 마지막 10%,39938,파일별 경계 유지,True,False
GHL,series_13,044_GHL_id_13_Sensor_tr_50000_1st_145001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_14,045_GHL_id_14_Sensor_tr_50000_1st_85076.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_15,046_GHL_id_15_Sensor_tr_50000_1st_156462.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_16,047_GHL_id_16_Sensor_tr_50000_1st_77001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_17,048_GHL_id_17_Sensor_tr_50000_1st_154001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_18,049_GHL_id_18_Sensor_tr_50000_1st_109001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_19,050_GHL_id_19_Sensor_tr_43750_1st_55001.csv,train_and_test,175001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,43750,전체 정상 구간의 마지막 10%,43750,파일별 경계 유지,True,False
GHL,series_20,051_GHL_id_20_Sensor_tr_50000_1st_75110.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_21,052_GHL_id_21_Sensor_tr_50000_1st_98001.csv,train_and_test,200001,19,True,True,True,False,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_22,053_GHL_id_22_Sensor_tr_50000_1st_126448.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_23,054_GHL_id_23_Sensor_tr_50000_1st_135001.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_24,055_GHL_id_24_Sensor_tr_50000_1st_118124.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
GHL,series_25,056_GHL_id_25_Sensor_tr_50000_1st_105568.csv,train_and_test,200001,19,False,True,True,True,False,not_available,not_available,not_available,not_available,not_available,not_available,0,0,0,50000,전체 정상 구간의 마지막 10%,50000,파일별 경계 유지,True,False
