dataset,training_scope,ratio,model,training_unit,source_session_count,model_instance_count,train_window_count_per_model,train_window_count_all_models,validation_window_count_per_model,validation_window_count_all_models,batch_size,drop_last,train_batches_per_epoch_per_model,train_batches_per_epoch_all_models,optimizer_steps_per_batch,optimizer_updates_per_epoch_per_model,optimizer_updates_per_epoch_all_models,validation_batches_per_model,validation_batches_all_models,max_epochs,maximum_optimizer_updates,early_stopping_rule,workload_status,actual_optimizer_updates_status,fit_validation_boundary_crossing_window_count,session_boundary_crossing_window_count,windows_excluded_to_preserve_session_boundaries
GHL,series_01,5,CI-AE,one_model_per_channel,1,19,2151,40869,4901,93119,128,True,16,304,1,16,304,39,741,50,15200,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,5,GDN,one_multivariate_model,1,1,2245,2245,4995,4995,32,False,71,71,1,71,71,157,157,50,3550,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,5,LSTM-AD,one_multivariate_model,1,1,2150,2150,4900,4900,128,False,17,17,1,17,17,39,39,50,850,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,5,USAD,one_multivariate_model,1,1,2241,2241,4991,4991,128,False,18,18,2,36,36,39,39,70,2520,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_01,10,CI-AE,one_model_per_channel,1,19,4401,83619,4901,93119,128,True,34,646,1,34,646,39,741,50,32300,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,10,GDN,one_multivariate_model,1,1,4495,4495,4995,4995,32,False,141,141,1,141,141,157,157,50,7050,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,10,LSTM-AD,one_multivariate_model,1,1,4400,4400,4900,4900,128,False,35,35,1,35,35,39,39,50,1750,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,10,USAD,one_multivariate_model,1,1,4491,4491,4991,4991,128,False,36,36,2,72,72,39,39,70,5040,none,fixed_project_transfer_rule,batch_size fixed by project transfer rule; execution log required,0,0,0
GHL,series_01,20,CI-AE,one_model_per_channel,1,19,8901,169119,4901,93119,128,True,69,1311,1,69,1311,39,741,50,65550,none,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,20,GDN,one_multivariate_model,1,1,8995,8995,4995,4995,32,False,282,282,1,282,282,157,157,50,14100,patience=10,fixed_for_pretraining_audit,execution log required,0,0,0
GHL,series_01,20,LSTM-AD,one_multivariate_model,1,1,8900,8900,4900,4900,128,False,70,70,1,70,70,39,39,50,3500,patience=3,fixed_for_pretraining_audit,execution log required,0,0,0
