ratio,channel,active
0.05,P1_FCV01D,True
0.05,P1_FCV01Z,True
0.05,P1_FCV02D,True
0.05,P1_FCV02Z,True
0.05,P1_FCV03D,True
0.05,P1_FCV03Z,True
0.05,P1_FT01,True
0.05,P1_FT01Z,True
0.05,P1_FT02,True
0.05,P1_FT02Z,True
0.05,P1_FT03,True
0.05,P1_FT03Z,True
0.05,P1_LCV01D,True
0.05,P1_LCV01Z,True
0.05,P1_LIT01,True
0.05,P1_PCV01D,True
0.05,P1_PCV01Z,True
0.05,P1_PCV02D,False
0.05,P1_PCV02Z,True
0.05,P1_PIT01,True
0.05,P1_PIT01_HH,False
0.05,P1_PIT02,True
0.05,P1_PP01AD,False
0.05,P1_PP01AR,False
0.05,P1_PP01BD,False
0.05,P1_PP01BR,False
0.05,P1_PP02D,False
0.05,P1_PP02R,False
0.05,P1_PP04,True
0.05,P1_PP04D,True
0.05,P1_PP04SP,True
0.05,P1_SOL01D,False
0.05,P1_SOL03D,False
0.05,P1_STSP,False
0.05,P1_TIT01,True
0.05,P1_TIT02,True
0.05,P1_TIT03,True
0.05,P2_24Vdc,True
0.05,P2_ATSW_Lamp,False
0.05,P2_AutoGO,False
0.05,P2_AutoSD,True
0.05,P2_Emerg,False
0.05,P2_MASW,False
0.05,P2_MASW_Lamp,False
0.05,P2_ManualGO,False
0.05,P2_ManualSD,False
0.05,P2_OnOff,False
0.05,P2_RTR,False
0.05,P2_SCO,True
0.05,P2_SCST,True
0.05,P2_SIT01,True
0.05,P2_TripEx,False
0.05,P2_VIBTR01,True
0.05,P2_VIBTR02,True
0.05,P2_VIBTR03,True
0.05,P2_VIBTR04,True
0.05,P2_VT01,True
0.05,P2_VTR01,False
0.05,P2_VTR02,False
0.05,P2_VTR03,False
0.05,P2_VTR04,False
0.05,P3_FIT01,True
0.05,P3_LCP01D,True
0.05,P3_LCV01D,True
0.05,P3_LH01,False
0.05,P3_LIT01,True
0.05,P3_LL01,False
0.05,P3_PIT01,True
0.05,P4_HT_FD,True
