session,ratio,window_size,original_train_length,fit_pool_length,kept_length,model_train_length,validation_length,train_window_count,validation_window_count,scaler_fit_observation_count,validation_transform_observation_count,feasible
1,0.05,5,280800,252720,12636,12636,28080,12631,28075,12636,28080,True
1,0.1,5,280800,252720,25272,25272,28080,25267,28075,25272,28080,True
1,0.2,5,280800,252720,50544,50544,28080,50539,28075,50544,28080,True
1,0.4,5,280800,252720,101088,101088,28080,101083,28075,101088,28080,True
1,0.6,5,280800,252720,151632,151632,28080,151627,28075,151632,28080,True
1,0.8,5,280800,252720,202176,202176,28080,202171,28075,202176,28080,True
1,1.0,5,280800,252720,252720,252720,28080,252715,28075,252720,28080,True
2,0.05,5,291600,262440,13122,13122,29160,13117,29155,13122,29160,True
2,0.1,5,291600,262440,26244,26244,29160,26239,29155,26244,29160,True
2,0.2,5,291600,262440,52488,52488,29160,52483,29155,52488,29160,True
2,0.4,5,291600,262440,104976,104976,29160,104971,29155,104976,29160,True
2,0.6,5,291600,262440,157464,157464,29160,157459,29155,157464,29160,True
2,0.8,5,291600,262440,209952,209952,29160,209947,29155,209952,29160,True
2,1.0,5,291600,262440,262440,262440,29160,262435,29155,262440,29160,True
3,0.05,5,126000,113400,5670,5670,12600,5665,12595,5670,12600,True
3,0.1,5,126000,113400,11340,11340,12600,11335,12595,11340,12600,True
3,0.2,5,126000,113400,22680,22680,12600,22675,12595,22680,12600,True
3,0.4,5,126000,113400,45360,45360,12600,45355,12595,45360,12600,True
3,0.6,5,126000,113400,68040,68040,12600,68035,12595,68040,12600,True
3,0.8,5,126000,113400,90720,90720,12600,90715,12595,90720,12600,True
3,1.0,5,126000,113400,113400,113400,12600,113395,12595,113400,12600,True
4,0.05,5,198000,178200,8910,8910,19800,8905,19795,8910,19800,True
4,0.1,5,198000,178200,17820,17820,19800,17815,19795,17820,19800,True
4,0.2,5,198000,178200,35640,35640,19800,35635,19795,35640,19800,True
4,0.4,5,198000,178200,71280,71280,19800,71275,19795,71280,19800,True
4,0.6,5,198000,178200,106920,106920,19800,106915,19795,106920,19800,True
4,0.8,5,198000,178200,142560,142560,19800,142555,19795,142560,19800,True
4,1.0,5,198000,178200,178200,178200,19800,178195,19795,178200,19800,True
