dataset,ratio,scope,total_file_channel_combinations,combination_unit,constant_file_channel_combinations,constant_by_source,pooled_constant_channel_count,iqr_zero_file_channel_combinations,variance_zero_file_channel_combinations,zero_range_file_channel_combinations,nonfinite_file_channel_combinations,scaler_execution_not_ready_file_channel_combinations,variation_available_file_channel_combinations,nan_file_channel_combinations,infinite_file_channel_combinations
HAI,5,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,5,fit_subset,344,training_session_channel,130,train_1=33;train_2=29;train_3=33;train_4=35,26,139,130,130,0,0,214,0,0
HAI,5,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
HAI,10,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,10,fit_subset,344,training_session_channel,124,train_1=30;train_2=28;train_3=31;train_4=35,26,132,124,124,0,0,220,0,0
HAI,10,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
HAI,20,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,20,fit_subset,344,training_session_channel,105,train_1=21;train_2=22;train_3=31;train_4=31,20,124,105,105,0,0,239,0,0
HAI,20,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
HAI,40,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,40,fit_subset,344,training_session_channel,100,train_1=21;train_2=22;train_3=30;train_4=27,20,117,100,100,0,0,244,0,0
HAI,40,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
HAI,60,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,60,fit_subset,344,training_session_channel,86,train_1=21;train_2=22;train_3=22;train_4=21,20,110,86,86,0,0,258,0,0
HAI,60,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
HAI,80,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,80,fit_subset,344,training_session_channel,84,train_1=21;train_2=20;train_3=22;train_4=21,20,108,84,84,0,0,260,0,0
HAI,80,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
HAI,100,fit_pool,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,100,fit_subset,344,training_session_channel,82,train_1=20;train_2=20;train_3=22;train_4=20,20,106,82,82,0,0,262,0,0
HAI,100,fixed_validation,344,training_session_channel,119,train_1=29;train_2=28;train_3=31;train_4=31,25,129,119,119,0,0,225,0,0
