dataset,file_or_session,ratio,stage,model,original_train_length,fit_pool_length,fit_subset_length,unused_fit_pool_length,validation_length,model_input_window_size,train_stride,evaluation_stride,batch_size,target_horizon,drop_last,max_epochs,training_unit,early_stopping_rule,optimizer_steps_per_batch,train_window_count,validation_window_count,full_train_batches,train_batch_count_per_epoch,last_train_batch_size,dropped_train_windows,optimizer_updates_per_epoch,validation_batch_count,maximum_optimizer_updates,model_instance_count,first_valid_score_index,expected_saved_score_length,train_feasible,validation_feasible,execution_feasible,fit_validation_boundary_crossing_window_count,windows_excluded_to_preserve_fit_validation_boundary,file_or_session_boundary_crossing_window_count,workload_status,candidate_status,input_tensor_shape,model_forward_input_shape,model_forward_output_shape,flattened_input_dimension,graph_node_count,node_window_length,channel_order_rule,score_alignment_rule,channel_independent,implementation_status
HAI,train_1,5,normal,GDN,280800,252720,12636,240084,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,12631,28075,394,395,23,0,395,878,19750,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(12631, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_1,10,normal,GDN,280800,252720,25272,227448,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,25267,28075,789,790,19,0,790,878,39500,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(25267, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_1,20,normal,GDN,280800,252720,50544,202176,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,50539,28075,1579,1580,11,0,1580,878,79000,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(50539, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_1,40,normal,GDN,280800,252720,101088,151632,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,101083,28075,3158,3159,27,0,3159,878,157950,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(101083, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_1,60,normal,GDN,280800,252720,151632,101088,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,151627,28075,4738,4739,11,0,4739,878,236950,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(151627, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_1,80,normal,GDN,280800,252720,202176,50544,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,202171,28075,6317,6318,27,0,6318,878,315900,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(202171, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_1,100,normal,GDN,280800,252720,252720,0,28080,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,252715,28075,7897,7898,11,0,7898,878,394900,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(252715, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,5,normal,GDN,291600,262440,13122,249318,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,13117,29155,409,410,29,0,410,912,20500,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(13117, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,10,normal,GDN,291600,262440,26244,236196,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,26239,29155,819,820,31,0,820,912,41000,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(26239, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,20,normal,GDN,291600,262440,52488,209952,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,52483,29155,1640,1641,3,0,1641,912,82050,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(52483, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,40,normal,GDN,291600,262440,104976,157464,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,104971,29155,3280,3281,11,0,3281,912,164050,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(104971, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,60,normal,GDN,291600,262440,157464,104976,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,157459,29155,4920,4921,19,0,4921,912,246050,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(157459, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,80,normal,GDN,291600,262440,209952,52488,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,209947,29155,6560,6561,27,0,6561,912,328050,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(209947, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_2,100,normal,GDN,291600,262440,262440,0,29160,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,262435,29155,8201,8202,3,0,8202,912,410100,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(262435, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_3,5,normal,GDN,126000,113400,5670,107730,12600,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,5665,12595,177,178,1,0,178,394,8900,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(5665, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_3,10,normal,GDN,126000,113400,11340,102060,12600,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,11335,12595,354,355,7,0,355,394,17750,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(11335, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_3,20,normal,GDN,126000,113400,22680,90720,12600,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,22675,12595,708,709,19,0,709,394,35450,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(22675, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_3,40,normal,GDN,126000,113400,45360,68040,12600,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,45355,12595,1417,1418,11,0,1418,394,70900,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(45355, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
HAI,train_3,60,normal,GDN,126000,113400,68040,45360,12600,5,1,1,32,1,False,50,one_model_over_all_train_sessions,patience=10,1,68035,12595,2126,2127,3,0,2127,394,106350,1,5,test_length-model_input_window_size,True,True,True,0,0,0,fixed_for_pretraining_audit,window and workload fixed; project topk does not change these counts,"(68035, 5, 86)","[batch, 86, 5]","[batch, 86]",not_applicable,86,5,manifest order preserved,1-step 채널별 절대 예측 오차; source[W:] 정렬,False,data shape applicable; raw wrapper contract checked separately
