[표 1] front/back trim — 장난감 배열 3종 (N=3, 값 = 시점*10 + 채널)
   T | direction | ratio | kept_length | kept_index_range |     첫 원소 |     마지막 원소
  20 |     front |  0.05 |           1 |           (0, 1) |        0 |          2
  20 |     front |   0.1 |           2 |           (0, 2) |        0 |         12
  20 |     front |   0.2 |           4 |           (0, 4) |        0 |         32
  20 |     front |   0.5 |          10 |          (0, 10) |        0 |         92
  20 |     front |   1.0 |          20 |          (0, 20) |        0 |        192
  20 |      back |  0.05 |           1 |         (19, 20) |      190 |        192
  20 |      back |   0.1 |           2 |         (18, 20) |      180 |        192
  20 |      back |   0.2 |           4 |         (16, 20) |      160 |        192
  20 |      back |   0.5 |          10 |         (10, 20) |      100 |        192
  20 |      back |   1.0 |          20 |          (0, 20) |        0 |        192
  19 |     front |  0.05 |           1 |           (0, 1) |        0 |          2
  19 |     front |   0.1 |           2 |           (0, 2) |        0 |         12
  19 |     front |   0.2 |           4 |           (0, 4) |        0 |         32
  19 |     front |   0.5 |          10 |          (0, 10) |        0 |         92
  19 |     front |   1.0 |          19 |          (0, 19) |        0 |        182
  19 |      back |  0.05 |           1 |         (18, 19) |      180 |        182
  19 |      back |   0.1 |           2 |         (17, 19) |      170 |        182
  19 |      back |   0.2 |           4 |         (15, 19) |      150 |        182
  19 |      back |   0.5 |          10 |          (9, 19) |       90 |        182
  19 |      back |   1.0 |          19 |          (0, 19) |        0 |        182
 100 |     front |  0.05 |           5 |           (0, 5) |        0 |         42
 100 |     front |   0.1 |          10 |          (0, 10) |        0 |         92
 100 |     front |   0.2 |          20 |          (0, 20) |        0 |        192
 100 |     front |   0.5 |          50 |          (0, 50) |        0 |        492
 100 |     front |   1.0 |         100 |         (0, 100) |        0 |        992
 100 |      back |  0.05 |           5 |        (95, 100) |      950 |        992
 100 |      back |   0.1 |          10 |        (90, 100) |      900 |        992
 100 |      back |   0.2 |          20 |        (80, 100) |      800 |        992
 100 |      back |   0.5 |          50 |        (50, 100) |      500 |        992
 100 |      back |   1.0 |         100 |         (0, 100) |        0 |        992

[표 2] validation_split — T=100, val_fraction=0.1(configs val_size), min_train_length=10(예시)
ratio | kept_length |  train 길이 |  val 길이 |  val 첫 원소 |  val 마지막 원소 | 결과
 0.05 |           5 |         — |       — |         — |           — | 예외
      예외 메시지 전문: train 길이 하한 미달: T=100, ratio=0.05, val_fraction=0.1, 축소 구간 길이=5, train 길이=4, val 길이=1, 하한=10
  0.1 |          10 |         — |       — |         — |           — | 예외
      예외 메시지 전문: train 길이 하한 미달: T=100, ratio=0.1, val_fraction=0.1, 축소 구간 길이=10, train 길이=9, val 길이=1, 하한=10
  0.2 |          20 |        18 |       2 |       180 |         192 | 정상
  0.5 |          50 |        45 |       5 |       450 |         492 | 정상
  1.0 |         100 |        90 |      10 |       900 |         992 | 정상
