series,ratio,kept_length,active_channel_count,variable_iqr_channel_count,interquartile_support_coverage,median_standardized_mean_gap,relationship_similarity
1,0.05,2500,13,8,0.5263157894736842,0.3139247321569331,0.35952934589861046
1,0.1,5000,13,6,0.5263157894736842,0.23171546306156596,0.37011090214854525
1,0.2,10000,19,6,0.6842105263157895,0.0763196133054122,0.7874302625843809
1,0.5,25000,19,13,0.6842105263157895,0.040089584803169244,0.8771584973929376
1,1.0,50000,19,13,1.0,0.0,1.0
2,0.05,2500,13,8,0.5789473684210527,0.7743982145916696,0.3438454413750065
2,0.1,5000,13,6,0.5789473684210527,0.45628918357224824,0.3526133629865314
2,0.2,10000,19,6,0.7368421052631579,0.09722663331552786,0.7989955101459534
2,0.5,25000,19,13,0.8947368421052632,0.03233037966268683,0.9425762768660694
2,1.0,50000,19,13,1.0,0.0,1.0
3,0.05,2500,13,8,0.5263157894736842,0.16913617341172388,0.3512362198419249
3,0.1,5000,13,6,0.631578947368421,0.1469977279641793,0.3815459821925277
3,0.2,10000,19,6,0.6842105263157895,0.06486079085654446,0.8161909754092529
3,0.5,25000,19,13,0.8947368421052632,0.06187744442445411,0.9155984089599892
3,1.0,50000,19,13,1.0,0.0,1.0
4,0.05,2500,13,8,0.5263157894736842,0.2646723719157433,0.3539523333998727
4,0.1,5000,13,6,0.631578947368421,0.19213639614186537,0.3948985909614514
4,0.2,10000,19,6,0.6842105263157895,0.09054703726225836,0.806766770622231
4,0.5,25000,19,13,0.6842105263157895,0.10653705693401799,0.9090588243281184
4,1.0,50000,19,13,1.0,0.0,1.0
5,0.05,2500,13,8,0.5263157894736842,0.24321589671467675,0.343861154153687
5,0.1,5000,13,6,0.5263157894736842,0.23364012188626965,0.3566756533334504
5,0.2,10000,19,6,0.5789473684210527,0.10250308039090336,0.7918697690633181
5,0.5,25000,19,13,0.7368421052631579,0.059174757504495926,0.894351337504284
5,1.0,50000,19,13,1.0,0.0,1.0
6,0.05,2500,13,8,0.5263157894736842,0.24930702730576973,0.3583134560055073
6,0.1,5000,13,6,0.5263157894736842,0.19050375458461974,0.39024735958336404
6,0.2,10000,19,6,0.5789473684210527,0.058524466934241876,0.8403799090997375
6,0.5,25000,19,13,0.8421052631578947,0.10762121809657353,0.8999774825221807
6,1.0,50000,19,13,1.0,0.0,1.0
